# Data for CCAM																																																																																																																																																																																																					
# y																																																																																																																																																																																																						
1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013																																																																																																																																																									
# env1																																																																																																																																																																																																						
0	0	0	-3.09	-0.21	-0.77	-0.65	-2.34	-1.06	-1.01	2.07	2.93	0.78	2.01	1.54	-0.09	2.02	0.61	0.89	2.23	2.35	1.69	-0.63	-1.7	-0.63	-0.61	0.67	0.73	-1.52	0.06	-0.87	0.38	-0.8	-0.33	1.19	1.71	0.5	0.73	-1.02	0.15	0.91	-0.75	-4.28	-2.6	-1.2	-1.51																																																																																																																																																									
# env2																																																																																																																																																																																																						
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																									
# state																																																																																																																																																																																																						
1																																																																																																																																																																																																						
# rec																																																																																																																																																																																																						
5																																																																																																																																																																																																						
# recDist																																																																																																																																																																																																						
0																																																																																																																																																																																																						
# logsd_logC																																																																																																																																																																																																						
-4.605170186																																																																																																																																																																																																						
# f																																																																																																																																																																																																						
0	0.005012542	0.01005034	0.01511364	0.02020271	0.02531781	0.03045921	0.03562718	0.04082199	0.04604394	0.05129329	0.05657035	0.0618754	0.06720875	0.07257069	0.07796154	0.08338161	0.08883121	0.09431068	0.09982034	0.10536052	0.11093156	0.11653382	0.12216763	0.12783337	0.13353139	0.13926207	0.14502577	0.15082289	0.15665381	0.16251893	0.16841865	0.17435339	0.18032355	0.18632958	0.19237189	0.19845094	0.20456717	0.21072103	0.216913	0.22314355	0.22941316	0.23572233	0.24207156	0.24846136	0.25489225	0.26136476	0.26787945	0.27443685	0.28103753	0.28768207	0.29437106	0.30110509	0.30788478	0.31471074	0.32158362	0.32850407	0.33547274	0.34249031	0.34955748	0.35667494	0.36384343	0.37106368	0.37833644	0.38566248	0.39304259	0.40047757	0.40796824	0.41551544	0.42312004	0.43078292	0.43850496	0.4462871	0.4541303	0.4620355	0.4700036	0.4780358	0.486133	0.4942963	0.5025268	0.5108256	0.5191939	0.5276327	0.5361434	0.5447272	0.5533852	0.5621189	0.5709295	0.5798185	0.5887872	0.597837	0.6069695	0.6161861	0.6254885	0.6348783	0.644357	0.6539265	0.6635884	0.6733446	0.6831968	0.6931472	0.7031975	0.7133499	0.7236064	0.7339692	0.7444405	0.7550226	0.7657179	0.7765288	0.7874579	0.7985077	0.809681	0.8209806	0.8324092	0.8439701	0.8556661	0.8675006	0.8794768	0.8915981	0.9038682	0.9162907	0.9288695	0.9416085	0.9545119	0.967584	0.9808293	0.9942523	1.0078579	1.0216512	1.0356375	1.0498221	1.0642109	1.0788097	1.0936247	1.1086626	1.1239301	1.1394343	1.1551826	1.171183	1.1874435	1.2039728	1.2207799	1.2378744	1.2552661	1.2729657	1.2909842	1.3093333	1.3280255	1.3470736	1.3664917	1.3862944	1.4064971	1.4271164	1.4481698	1.469676	1.4916549	1.5141277	1.5371173	1.5606477	1.5847453	1.6094379	1.6347557	1.6607312	1.6873995	1.7147984	1.7429693	1.7719568	1.8018098	1.8325815	1.8643302	1.89712	1.9310215	1.9661129	2.0024805	2.0402208	2.0794415	2.1202635	2.1628232	2.2072749	2.2537949	2.3025851	2.3538784	2.4079456	2.465104	2.5257286	2.5902672	2.65926	2.733368	2.8134107	2.9004221	2.9957323	3.1010928	3.2188758	3.3524072	3.5065579	3.6888795	3.912023	4.1997051	4.6051702
